0,1,2,3,4,5,6,7
1,4.566,0.581,4.609,0.565,2023-06-23 19:21:06,236BF233,
2,4.549,0.582,4.585,0.557,2023-06-23 19:21:06,236BF233,
4,4.552,0.577,4.630,0.577,2023-06-23 19:21:06,236BF233,
5,4.592,0.574,4.623,0.585,2023-06-23 19:21:07,236BF233,
6,4.576,0.576,4.658,0.599,2023-06-23 19:21:07,236BF233,
7,4.590,0.575,4.638,0.594,2023-06-23 19:21:07,236BF233,
8,4.573,0.570,4.622,0.583,2023-06-23 19:21:07,236BF233,
9,4.584,0.560,4.611,0.591,2023-06-23 19:21:07,236BF233,
10,4.579,0.570,4.638,0.596,2023-06-23 19:21:07,236BF233,
11,4.600,0.561,4.618,0.576,2023-06-23 19:21:07,236BF233,
12,4.598,0.582,4.611,0.615,2023-06-23 19:21:07,236BF233,
13,4.613,0.576,4.644,0.572,2023-06-23 19:21:07,43FF9122,
14,4.607,0.578,4.670,0.585,2023-06-23 19:21:07,43FF9122,
15,4.628,0.573,4.645,0.572,2023-06-23 19:21:07,43FF9122,
16,4.632,0.584,4.659,0.601,2023-06-23 19:21:07,43FF9122,
17,4.646,0.587,4.654,0.603,2023-06-23 19:21:07,43FF9122,
18,4.636,0.596,4.664,0.615,2023-06-23 19:21:07,43FF9123,
19,4.639,0.596,4.656,0.601,2023-06-23 19:21:07,43FF9123,
20,4.627,0.579,4.667,0.611,2023-06-23 19:21:07,43FF9123,
21,4.645,0.580,4.651,0.597,2023-06-23 19:21:08,,
22,4.626,0.583,4.665,0.616,2023-06-23 19:21:08,,
23,4.637,0.586,4.642,0.599,2023-06-23 19:21:08,,
24,4.635,0.587,4.656,0.616,2023-06-23 19:21:08,,
25,4.649,0.575,4.640,0.600,2023-06-23 19:21:08,,
26,4.642,0.579,4.652,0.610,2023-06-23 19:21:08,,
27,4.657,0.580,4.658,0.602,2023-06-23 19:21:08,,
28,4.634,0.579,4.650,0.614,2023-06-23 19:21:08,,
29,4.627,0.569,4.635,0.606,2023-06-23 19:21:08,,
30,4.598,0.575,4.634,0.601,2023-06-23 19:21:08,,
31,4.598,0.555,4.611,0.596,2023-06-23 19:21:08,,
32,4.590,0.569,4.628,0.602,2023-06-23 19:21:08,,
33,4.587,0.560,4.620,0.589,2023-06-23 19:21:08,,
34,4.591,0.574,4.627,0.601,2023-06-23 19:21:08,,
35,4.586,0.565,4.615,0.578,2023-06-23 19:21:08,,
36,4.583,0.576,4.634,0.590,2023-06-23 19:21:08,,
37,4.599,0.566,4.629,0.576,2023-06-23 19:21:09,,
38,4.587,0.567,4.647,0.584,2023-06-23 19:21:09,,
39,4.580,0.575,4.575,0.561,2023-06-23 19:21:34,,
40,4.559,0.564,4.563,0.600,2023-06-23 19:21:34,,
41,4.600,0.574,4.561,0.558,2023-06-23 19:21:34,,
42,4.599,0.579,4.600,0.568,2023-06-23 19:21:34,,
43,4.613,0.566,4.604,0.559,2023-06-23 19:21:35,,
44,4.613,0.582,4.618,0.583,2023-06-23 19:21:35,,
45,4.624,0.580,4.607,0.552,2023-06-23 19:21:35,,
46,4.618,0.571,4.637,0.580,2023-06-23 19:21:35,,
47,4.637,0.568,4.629,0.566,2023-06-23 19:21:35,,
48,4.638,0.588,4.647,0.586,2023-06-23 19:21:35,,
49,4.648,0.595,4.630,0.570,2023-06-23 19:21:35,,
50,4.629,0.590,4.648,0.587,2023-06-23 19:21:35,,
51,4.637,0.579,4.631,0.572,2023-06-23 19:21:35,,
52,4.619,0.586,4.641,0.597,2023-06-23 19:21:35,,
53,4.643,0.586,4.639,0.589,2023-06-23 19:21:35,,
54,4.621,0.597,4.649,0.603,2023-06-23 19:21:35,,
55,4.630,0.590,4.639,0.578,2023-06-23 19:21:35,,
56,4.615,0.590,4.647,0.598,2023-06-23 19:21:35,,
57,4.645,0.584,4.650,0.580,2023-06-23 19:21:35,,
58,4.628,0.588,4.656,0.591,2023-06-23 19:21:35,,
59,4.640,0.585,4.635,0.577,2023-06-23 19:21:36,,
60,4.618,0.573,4.642,0.597,2023-06-23 19:21:36,,
61,4.639,0.599,4.634,0.576,2023-06-23 19:21:36,,
62,4.603,0.565,4.654,0.605,2023-06-23 19:21:36,,
63,4.622,0.566,4.621,0.575,2023-06-23 19:21:36,,
64,4.612,0.569,4.637,0.592,2023-06-23 19:21:36,,
65,4.630,0.564,4.634,0.570,2023-06-23 19:21:36,,
66,4.624,0.573,4.627,0.588,2023-06-23 19:21:36,,
67,4.619,0.558,4.598,0.577,2023-06-23 19:21:36,,
68,4.616,0.571,4.607,0.579,2023-06-23 19:21:36,,
69,4.609,0.565,4.587,0.573,2023-06-23 19:21:36,,
70,4.594,0.566,4.606,0.579,2023-06-23 19:21:36,,
71,4.621,0.573,4.616,0.574,2023-06-23 19:21:36,,
72,4.590,0.566,4.613,0.579,2023-06-23 19:21:36,,
73,4.590,0.563,4.574,0.563,2023-06-23 19:21:36,,
74,4.584,0.572,4.580,0.563,2023-06-23 19:21:36,,
75,4.609,0.596,4.582,0.555,2023-06-23 19:21:37,,
76,4.583,0.586,4.590,0.572,2023-06-23 19:21:37,,
77,4.596,0.562,4.625,0.528,2023-06-23 19:21:38,,
78,4.565,0.569,4.633,0.552,2023-06-23 19:21:38,,
79,4.597,0.573,4.635,0.565,2023-06-23 19:21:38,,
80,4.582,0.565,4.628,0.589,2023-06-23 19:21:38,,
81,4.612,0.574,4.600,0.579,2023-06-23 19:21:38,,
82,4.610,0.586,4.623,0.577,2023-06-23 19:21:39,,
83,4.635,0.573,4.633,0.562,2023-06-23 19:21:39,,
84,4.624,0.572,4.642,0.576,2023-06-23 19:21:39,,
85,4.638,0.579,4.636,0.563,2023-06-23 19:21:39,,
86,4.639,0.586,4.659,0.580,2023-06-23 19:21:39,,
87,4.646,0.580,4.646,0.563,2023-06-23 19:21:39,,
88,4.648,0.580,4.663,0.582,2023-06-23 19:21:39,,
89,4.674,0.589,4.662,0.575,2023-06-23 19:21:39,,
90,4.639,0.598,4.661,0.583,2023-06-23 19:21:39,,
91,4.661,0.584,4.650,0.565,2023-06-23 19:21:39,,
92,4.655,0.590,4.669,0.586,2023-06-23 19:21:39,,
93,4.680,0.576,4.664,0.574,2023-06-23 19:21:39,,
94,4.655,0.585,4.674,0.609,2023-06-23 19:21:39,,
95,4.681,0.586,4.667,0.580,2023-06-23 19:21:39,,
96,4.654,0.578,4.669,0.583,2023-06-23 19:21:39,,
97,4.652,0.566,4.657,0.570,2023-06-23 19:21:40,,
98,4.631,0.577,4.667,0.584,2023-06-23 19:21:40,,
99,4.638,0.564,4.662,0.574,2023-06-23 19:21:40,,
100,4.618,0.566,4.672,0.594,2023-06-23 19:21:40,,
101,4.635,0.572,4.654,0.560,2023-06-23 19:21:40,,
102,4.606,0.555,4.672,0.578,2023-06-23 19:21:40,,
103,4.618,0.556,4.669,0.575,2023-06-23 19:21:40,,
104,4.616,0.577,4.659,0.583,2023-06-23 19:21:40,,
105,4.616,0.573,4.638,0.576,2023-06-23 19:21:40,,
106,4.612,0.567,4.658,0.585,2023-06-23 19:21:40,,
107,4.630,0.574,4.646,0.570,2023-06-23 19:21:40,,
108,4.609,0.569,4.641,0.583,2023-06-23 19:21:40,,
109,4.624,0.577,4.613,0.569,2023-06-23 19:21:40,,
110,4.609,0.572,4.620,0.585,2023-06-23 19:21:40,,
111,4.620,0.564,4.601,0.570,2023-06-23 19:21:40,,
112,4.605,0.570,4.616,0.587,2023-06-23 19:21:40,,
113,4.616,0.565,4.598,0.570,2023-06-23 19:21:41,,
114,4.607,0.577,4.590,0.570,2023-06-23 19:21:41,,
115,4.558,0.569,4.602,0.548,2023-06-23 19:21:42,,
116,4.546,0.577,4.602,0.563,2023-06-23 19:21:42,,
117,4.564,0.589,4.604,0.574,2023-06-23 19:21:42,,
118,4.548,0.580,4.591,0.595,2023-06-23 19:21:42,,
119,4.576,0.571,4.570,0.581,2023-06-23 19:21:42,,
120,4.570,0.568,4.605,0.569,2023-06-23 19:21:43,,
121,4.592,0.567,4.600,0.560,2023-06-23 19:21:43,,
122,4.583,0.572,4.598,0.570,2023-06-23 19:21:43,,
123,4.616,0.568,4.605,0.565,2023-06-23 19:21:43,,
124,4.600,0.565,4.608,0.558,2023-06-23 19:21:43,,
125,4.628,0.556,4.602,0.548,2023-06-23 19:21:43,,
126,4.633,0.571,4.630,0.566,2023-06-23 19:21:43,,
127,4.645,0.571,4.617,0.553,2023-06-23 19:21:43,,
128,4.633,0.583,4.632,0.571,2023-06-23 19:21:43,,
129,4.654,0.583,4.624,0.558,2023-06-23 19:21:43,,
130,4.642,0.563,4.638,0.560,2023-06-23 19:21:43,,
131,4.664,0.583,4.631,0.559,2023-06-23 19:21:43,,
132,4.648,0.586,4.649,0.595,2023-06-23 19:21:43,,
133,4.659,0.587,4.647,0.566,2023-06-23 19:21:43,,
134,4.650,0.592,4.659,0.581,2023-06-23 19:21:43,,
135,4.649,0.579,4.651,0.572,2023-06-23 19:21:43,,
136,4.629,0.582,4.661,0.591,2023-06-23 19:21:44,,
137,4.639,0.580,4.645,0.572,2023-06-23 19:21:44,,
138,4.625,0.577,4.650,0.578,2023-06-23 19:21:44,,
139,4.643,0.577,4.642,0.566,2023-06-23 19:21:44,,
140,4.618,0.571,4.651,0.573,2023-06-23 19:21:44,,
141,4.633,0.572,4.632,0.585,2023-06-23 19:21:44,,
142,4.619,0.574,4.632,0.582,2023-06-23 19:21:44,,
